,Low,Low Intermediate,High Intermediate,Low Coeff,Low Intermediate Coeff,High Intermediate Coeff
12,4.0,5.0,7.0,"(0, 0)","(0, 0)","(0, 0)"
24,5.0,6.0,8.0,"(0.08333, 3.0)","(0.08333, 4.0)","(0.08333, 6.0)"
36,7.0,9.0,11.0,"(0.16667, 1.0)","(0.25, 0.0)","(0.25, 2.0)"
48,8.5,10.5,13.0,"(0.125, 2.5)","(0.125, 4.5)","(0.16667, 5.0)"
60,9.5,12.5,15.0,"(0.08333, 4.5)","(0.16667, 2.5)","(0.16667, 5.0)"
72,11.0,13.5,16.0,"(0.125, 2.0)","(0.08333, 7.5)","(0.08333, 10.0)"
84,11.5,14.5,16.5,"(0.04167, 8.0)","(0.08333, 7.5)","(0.04167, 13.0)"
96,12.5,15.0,17.5,"(0.08333, 4.5)","(0.04167, 11.0)","(0.08333, 9.5)"
108,13.0,15.0,17.5,"(0.04167, 8.5)","(0.0, 15.0)","(0.0, 17.5)"
120,13.0,15.0,17.5,"(0.0, 13.0)","(0.0, 15.0)","(0.0, 17.5)"
132,13.0,15.0,17.5,"(0.0, 13.0)","(0.0, 15.0)","(0.0, 17.5)"
144,13.0,15.0,17.5,"(0.0, 13.0)","(0.0, 15.0)","(0.0, 17.5)"
